Created_at;tweets
2020-03-19 18:32:03;@WhiteHouse It'll bounce back after November 3rd!!!
2020-03-19 18:32:02;@SenatorBurr @WhiteHouse The last 15 days were more critical. You need to resign without pay.
2020-03-19 18:32:00;@BlueRobotDesign @WhiteHouse @realDonaldTrump Unfortunately we won’t bounce back. Maybe the big corporations gettin… https://t.co/d5BLDk9VdC
2020-03-19 18:31:59;@forooghrahnama @WhiteHouse What do you expect from fox news...mother of all liars
2020-03-19 18:31:57;@Molon_Labe7 @winsonwen11 @helloimkhaled @sun_cel @WhiteHouse It was a global pandemic. The origin is debatable, bu… https://t.co/j9ho8JOoCX
2020-03-19 18:31:57;@WhiteHouse Practice what you preach....  From Day 1 it was called Coronavirus.  You spend more time defending dumb… https://t.co/uyaiGZ6NVW
2020-03-19 18:31:57;"@WhiteHouse @Mike_Pence Funny show keep my comedy show going Iam still king &amp; I will always be the king. Only a kin… https://t.co/uCVkGCEsBz"
2020-03-19 18:31:56;"@BrandonBeckham_ @WhiteHouse @NewsHour @Yamiche Watch ""The Karate Kid"" on YouTube
https://t.co/wud1PO1HCP"
2020-03-19 18:31:55;"@tedlieu @WhiteHouse You can't tell the difference between a citizen and the government?

This explains so much"
2020-03-19 18:31:55;@BaritGT @winsonwen11 @helloimkhaled @sun_cel @WhiteHouse I do love articles that use the words “most likely”, “cou… https://t.co/ZIzhFOtsDu
2020-03-19 18:31:53;@realDonaldTrump @POTUS @WhiteHouse You are profoundly unfit for office. #inaugurationDay #January202021 https://t.co/GT6U3Ml7Tw
2020-03-19 18:31:53;@GraceflLady @MaryStrickler9 @tedlieu @WhiteHouse You just have to love the sheer lack of self-awareness it takes f… https://t.co/uVZe0VpVgq
2020-03-19 18:31:51;Anybody do Morse code? What's the lady on the right saying? https://t.co/zcqbZoyl0Z
2020-03-19 18:31:48;@WhiteHouse @realDonaldTrump We wouldn't have this disaster if, https://t.co/cnXNEn0umB
2020-03-19 18:31:47;Fun fact, the first recorded case of the Spanish Flu was in Kansas https://t.co/lEWJoOObwh
2020-03-19 18:31:44;@WhiteHouse @SidneyPowell1 Please share my page important for all Americans!!!
2020-03-19 18:31:43;@davidson_jadon @briantylercohen @realDonaldTrump @WhiteHouse And,  let's not forget the hotel bailout..
2020-03-19 18:31:41;@TomFitton A convenient excuse.  @realDonaldTrump POTUS promised us full transparency.  The promise was not carried… https://t.co/vElh8typcy
2020-03-19 18:31:40;"@WhiteHouse They sure did!!!

https://t.co/X0TveFXmwW"
2020-03-19 18:31:39;@Scavino45 @WhiteHouse THANKS DRIVERS!!! HAMMER DOWN!! No where's the Bill to PRIORITIZE the HIGHWAYS so these Truc… https://t.co/Bhpt9PMKgm
