Created_at;tweets
2020-03-19 19:44:35;"@kyledcheney @TheRickWilson @timkmak Ummm the Whitehouse had already taken steps way before that.
Do you knobs ever tell the truth?"
2020-03-19 19:44:35;@HHSGov @CDCgov @WhiteHouse If only we had some tests or something to help. Getting as many tests from as many comp… https://t.co/BAXjSDPZNz
2020-03-19 19:44:34;@WhiteHouse @realDonaldTrump @fema NOTHING will slow the virus spread until there is a hard shutdown of airline fli… https://t.co/Aj3qXqxLbY
2020-03-19 19:44:31;"@WhiteHouse @realDonaldTrump Mr. President, thanx 4 all U do. PLEASE, tell all news &amp; media outlets 2 start reporti… https://t.co/xM6M2aaSib"
2020-03-19 19:44:30;"Regarding the unbelievably disrespectful treatment of the ""press"" towards @POTUS and WH officials it is high time f… https://t.co/7iA1dc4876"
2020-03-19 19:44:30;@Citizen4Trump20 @WhiteHouse @realDonaldTrump Bots talking
2020-03-19 19:44:27;@WhiteHouse There is a difference between Chinese virus and Chinese corona virus. Simple minded.
2020-03-19 19:44:27;@tedlieu @WhiteHouse Really is that the official name? Every commentator and news personality called it the wuhan V… https://t.co/2SMgitzILb
2020-03-19 19:44:27;@tedlieu @WhiteHouse Give me a break! Stop this BS! Many diseases were named after countries like Spanish flu. Stop… https://t.co/RfYUEW7Pxj
2020-03-19 19:44:26;@EhrichT @CraggsMegyorky @NewsCorpse @WhiteHouse @realDonaldTrump It called citizenship you ass‼️🇺🇸
2020-03-19 19:44:23;@tedlieu @WhiteHouse Why is it the blue state of California  has all these cases of discrimination that I only seem… https://t.co/w6rcPr589v
2020-03-19 19:44:23;@fujinsensei @w_brind @tedlieu @WhiteHouse And got called a racist for it.
2020-03-19 19:44:21;@WhiteHouse To Trump and the GOP. We are going to get rid of about 70-80% of YOU! There NONE of you we like. Tell y… https://t.co/0sUQUFfCYk
2020-03-19 19:44:20;@littleimpressio @WhiteHouse @realDonaldTrump Polly want a cracker? Your ability to repeat hackneyed (therefore BOR… https://t.co/DPTauUbOAm
2020-03-19 19:44:18;@Cernovich @realDonaldTrump @SBA State spons financing arms should also adopt such approach. This will allow the co… https://t.co/qKvgZmHYZG
2020-03-19 19:44:18;God bless our President! https://t.co/s0IM3Iu1AZ
2020-03-19 19:44:18;"@userwen123 @WhiteHouse @realDonaldTrump @fema lol

He's the only president to never have majority approval for his… https://t.co/h5QN1FAi9E"
2020-03-19 19:44:14;@WhiteHouse The only person dividing people is your lose @POTUS ! Stop calling it Chinese. Call it Covid-19! You’re… https://t.co/UAveeDd1lh
2020-03-19 19:44:14;@brianschatz Only the @WhiteHouse knows...and all they do is lie.
2020-03-19 19:44:13;@WhiteHouse @realDonaldTrump Sir, because of your economic policies, tax cuts and booming economy, I've had 13 days… https://t.co/5HipI4DEYN
2020-03-19 19:44:12;@tedlieu @WhiteHouse When out of ideas the idiot DEMs resort to racism.  When are you going to offer something cons… https://t.co/8mWJPm0Zq5
